id,GOSI_classification,OutPut Classification,Quarter,Region,Value
295,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2022-Q2,KSA,653310
296,Information and communication,"Transport, Storage & Communication",2022-Q2,KSA,123491
297,Financial and insurance activities,"Finance , Insurance and Business sevices",2022-Q2,KSA,88780
298,Real estate activities,Real Estate,2022-Q2,KSA,66181
299,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2022-Q2,KSA,196824
309,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2022-Q3,KSA,257591
310,Mining and quarrying,Mining & Quarrying,2022-Q3,KSA,139605
311,Manufacturing,Manufacturing,2022-Q3,KSA,1025301
312,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2022-Q3,KSA,39696
313,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2022-Q3,KSA,100916
314,Construction,Construction,2022-Q3,KSA,2454102
315,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2022-Q3,KSA,1643041
316,Transportation and storage,"Transport, Storage & Communication",2022-Q3,KSA,435650
317,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2022-Q3,KSA,673638
318,Information and communication,"Transport, Storage & Communication",2022-Q3,KSA,122031
319,Financial and insurance activities,"Finance , Insurance and Business sevices",2022-Q3,KSA,90393
320,Real estate activities,Real Estate,2022-Q3,KSA,53224
321,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2022-Q3,KSA,207882
331,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2022-Q4,KSA,354795
332,Mining and quarrying,Mining & Quarrying,2022-Q4,KSA,141816
333,Manufacturing,Manufacturing,2022-Q4,KSA,1033933
334,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2022-Q4,KSA,39390
335,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2022-Q4,KSA,106556
336,Construction,Construction,2022-Q4,KSA,2460230
337,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2022-Q4,KSA,1626050
338,Transportation and storage,"Transport, Storage & Communication",2022-Q4,KSA,439565
339,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2022-Q4,KSA,675154
340,Information and communication,"Transport, Storage & Communication",2022-Q4,KSA,123331
341,Financial and insurance activities,"Finance , Insurance and Business sevices",2022-Q4,KSA,91291
342,Real estate activities,Real Estate,2022-Q4,KSA,54627
343,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2022-Q4,KSA,213687
727,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2022-Q1,Riyadh,61589
728,Mining and quarrying,Mining & Quarrying,2022-Q1,Riyadh,12981
729,Manufacturing,Manufacturing,2022-Q1,Riyadh,332051
730,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2022-Q1,Riyadh,40347
731,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2022-Q1,Riyadh,15086
732,Construction,Construction,2022-Q1,Riyadh,757037
733,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2022-Q1,Riyadh,769437
734,Transportation and storage,"Transport, Storage & Communication",2022-Q1,Riyadh,128563
735,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2022-Q1,Riyadh,225438
736,Information and communication,"Transport, Storage & Communication",2022-Q1,Riyadh,65002
737,Financial and insurance activities,"Finance , Insurance and Business sevices",2022-Q1,Riyadh,55391
738,Real estate activities,Real Estate,2022-Q1,Riyadh,20165
739,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2022-Q1,Riyadh,77022
749,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2022-Q2,Riyadh,109540
750,Mining and quarrying,Mining & Quarrying,2022-Q2,Riyadh,10625
751,Manufacturing,Manufacturing,2022-Q2,Riyadh,351357
752,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2022-Q2,Riyadh,14825
753,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2022-Q2,Riyadh,50220
754,Construction,Construction,2022-Q2,Riyadh,956501
755,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2022-Q2,Riyadh,653779
756,Transportation and storage,"Transport, Storage & Communication",2022-Q2,Riyadh,172317
757,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2022-Q2,Riyadh,212913
758,Information and communication,"Transport, Storage & Communication",2022-Q2,Riyadh,102614
759,Financial and insurance activities,"Finance , Insurance and Business sevices",2022-Q2,Riyadh,58789
760,Real estate activities,Real Estate,2022-Q2,Riyadh,31733
761,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2022-Q2,Riyadh,101303
771,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2022-Q3,Riyadh,164182
772,Mining and quarrying,Mining & Quarrying,2022-Q3,Riyadh,9112
773,Manufacturing,Manufacturing,2022-Q3,Riyadh,398259
774,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2022-Q3,Riyadh,13781
775,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2022-Q3,Riyadh,65944
776,Construction,Construction,2022-Q3,Riyadh,977871
777,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2022-Q3,Riyadh,608802
778,Transportation and storage,"Transport, Storage & Communication",2022-Q3,Riyadh,187773
779,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2022-Q3,Riyadh,212711
780,Information and communication,"Transport, Storage & Communication",2022-Q3,Riyadh,102631
781,Financial and insurance activities,"Finance , Insurance and Business sevices",2022-Q3,Riyadh,69256
782,Real estate activities,Real Estate,2022-Q3,Riyadh,25245
783,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2022-Q3,Riyadh,120202
793,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2022-Q4,Riyadh,248575
794,Mining and quarrying,Mining & Quarrying,2022-Q4,Riyadh,8829
795,Manufacturing,Manufacturing,2022-Q4,Riyadh,401619
796,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2022-Q4,Riyadh,13818
797,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2022-Q4,Riyadh,71441
798,Construction,Construction,2022-Q4,Riyadh,972584
799,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2022-Q4,Riyadh,596681
800,Transportation and storage,"Transport, Storage & Communication",2022-Q4,Riyadh,187842
801,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2022-Q4,Riyadh,216208
802,Information and communication,"Transport, Storage & Communication",2022-Q4,Riyadh,103885
803,Financial and insurance activities,"Finance , Insurance and Business sevices",2022-Q4,Riyadh,71387
804,Real estate activities,Real Estate,2022-Q4,Riyadh,26058
805,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2022-Q4,Riyadh,124032
1,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2019-Q1,KSA,94071
2,Mining and quarrying,Mining & Quarrying,2019-Q1,KSA,179280
3,Manufacturing,Manufacturing,2019-Q1,KSA,847482
4,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2019-Q1,KSA,89976
5,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2019-Q1,KSA,16917
6,Construction,Construction,2019-Q1,KSA,2474372
7,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2019-Q1,KSA,2049245
8,Transportation and storage,"Transport, Storage & Communication",2019-Q1,KSA,242151
9,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2019-Q1,KSA,407957
10,Information and communication,"Transport, Storage & Communication",2019-Q1,KSA,70555
11,Financial and insurance activities,"Finance , Insurance and Business sevices",2019-Q1,KSA,74401
12,Real estate activities,Real Estate,2019-Q1,KSA,36152
13,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2019-Q1,KSA,138354
23,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2019-Q2,KSA,84066
24,Mining and quarrying,Mining & Quarrying,2019-Q2,KSA,179973
25,Manufacturing,Manufacturing,2019-Q2,KSA,838986
26,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2019-Q2,KSA,90759
27,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2019-Q2,KSA,16805
28,Construction,Construction,2019-Q2,KSA,2357165
29,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2019-Q2,KSA,2000368
30,Transportation and storage,"Transport, Storage & Communication",2019-Q2,KSA,241227
31,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2019-Q2,KSA,404651
32,Information and communication,"Transport, Storage & Communication",2019-Q2,KSA,70223
33,Financial and insurance activities,"Finance , Insurance and Business sevices",2019-Q2,KSA,73592
34,Real estate activities,Real Estate,2019-Q2,KSA,35592
35,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2019-Q2,KSA,136142
45,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2019-Q3,KSA,84469
46,Mining and quarrying,Mining & Quarrying,2019-Q3,KSA,181588
47,Manufacturing,Manufacturing,2019-Q3,KSA,830587
48,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2019-Q3,KSA,91278
49,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2019-Q3,KSA,16870
50,Construction,Construction,2019-Q3,KSA,2308339
51,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2019-Q3,KSA,1965063
52,Transportation and storage,"Transport, Storage & Communication",2019-Q3,KSA,244411
53,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2019-Q3,KSA,401134
54,Information and communication,"Transport, Storage & Communication",2019-Q3,KSA,70774
55,Financial and insurance activities,"Finance , Insurance and Business sevices",2019-Q3,KSA,73588
56,Real estate activities,Real Estate,2019-Q3,KSA,35402
57,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2019-Q3,KSA,141221
67,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2019-Q4,KSA,85240
68,Mining and quarrying,Mining & Quarrying,2019-Q4,KSA,184529
69,Manufacturing,Manufacturing,2019-Q4,KSA,824736
70,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2019-Q4,KSA,91048
71,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2019-Q4,KSA,16953
72,Construction,Construction,2019-Q4,KSA,2252257
73,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2019-Q4,KSA,1937468
74,Transportation and storage,"Transport, Storage & Communication",2019-Q4,KSA,241397
75,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2019-Q4,KSA,403651
76,Information and communication,"Transport, Storage & Communication",2019-Q4,KSA,72082
77,Financial and insurance activities,"Finance , Insurance and Business sevices",2019-Q4,KSA,74291
78,Real estate activities,Real Estate,2019-Q4,KSA,35611
79,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2019-Q4,KSA,140253
463,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2019-Q1,Riyadh,35220
464,Mining and quarrying,Mining & Quarrying,2019-Q1,Riyadh,8568
465,Manufacturing,Manufacturing,2019-Q1,Riyadh,287654
466,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2019-Q1,Riyadh,45232
467,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2019-Q1,Riyadh,5598
468,Construction,Construction,2019-Q1,Riyadh,742456
469,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2019-Q1,Riyadh,877201
470,Transportation and storage,"Transport, Storage & Communication",2019-Q1,Riyadh,79759
471,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2019-Q1,Riyadh,119879
472,Information and communication,"Transport, Storage & Communication",2019-Q1,Riyadh,52211
473,Financial and insurance activities,"Finance , Insurance and Business sevices",2019-Q1,Riyadh,51759
474,Real estate activities,Real Estate,2019-Q1,Riyadh,17762
475,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2019-Q1,Riyadh,69354
485,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2019-Q2,Riyadh,35972
486,Mining and quarrying,Mining & Quarrying,2019-Q2,Riyadh,8509
487,Manufacturing,Manufacturing,2019-Q2,Riyadh,282286
488,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2019-Q2,Riyadh,46424
489,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2019-Q2,Riyadh,5502
490,Construction,Construction,2019-Q2,Riyadh,711574
491,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2019-Q2,Riyadh,856175
492,Transportation and storage,"Transport, Storage & Communication",2019-Q2,Riyadh,80184
493,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2019-Q2,Riyadh,119201
494,Information and communication,"Transport, Storage & Communication",2019-Q2,Riyadh,52189
495,Financial and insurance activities,"Finance , Insurance and Business sevices",2019-Q2,Riyadh,51540
496,Real estate activities,Real Estate,2019-Q2,Riyadh,17654
497,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2019-Q2,Riyadh,68941
507,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2019-Q3,Riyadh,36994
508,Mining and quarrying,Mining & Quarrying,2019-Q3,Riyadh,8837
509,Manufacturing,Manufacturing,2019-Q3,Riyadh,280294
510,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2019-Q3,Riyadh,47219
511,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2019-Q3,Riyadh,5449
512,Construction,Construction,2019-Q3,Riyadh,700907
513,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2019-Q3,Riyadh,840620
514,Transportation and storage,"Transport, Storage & Communication",2019-Q3,Riyadh,79423
515,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2019-Q3,Riyadh,118116
516,Information and communication,"Transport, Storage & Communication",2019-Q3,Riyadh,52806
517,Financial and insurance activities,"Finance , Insurance and Business sevices",2019-Q3,Riyadh,51716
518,Real estate activities,Real Estate,2019-Q3,Riyadh,17758
519,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2019-Q3,Riyadh,73460
529,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2019-Q4,Riyadh,38326
530,Mining and quarrying,Mining & Quarrying,2019-Q4,Riyadh,9058
531,Manufacturing,Manufacturing,2019-Q4,Riyadh,281882
532,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2019-Q4,Riyadh,46945
533,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2019-Q4,Riyadh,5358
534,Construction,Construction,2019-Q4,Riyadh,689342
535,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2019-Q4,Riyadh,834759
536,Transportation and storage,"Transport, Storage & Communication",2019-Q4,Riyadh,79095
537,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2019-Q4,Riyadh,119583
538,Information and communication,"Transport, Storage & Communication",2019-Q4,Riyadh,54219
539,Financial and insurance activities,"Finance , Insurance and Business sevices",2019-Q4,Riyadh,52154
540,Real estate activities,Real Estate,2019-Q4,Riyadh,17865
541,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2019-Q4,Riyadh,73704
155,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2021-Q4,KSA,105391
156,Mining and quarrying,Mining & Quarrying,2021-Q4,KSA,178062
157,Manufacturing,Manufacturing,2021-Q4,KSA,825975
158,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2021-Q4,KSA,80679
159,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2021-Q4,KSA,19245
160,Construction,Construction,2021-Q4,KSA,2126216
161,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q4,KSA,1893542
162,Transportation and storage,"Transport, Storage & Communication",2021-Q4,KSA,255182
163,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q4,KSA,432419
164,Information and communication,"Transport, Storage & Communication",2021-Q4,KSA,75178
165,Financial and insurance activities,"Finance , Insurance and Business sevices",2021-Q4,KSA,74871
166,Real estate activities,Real Estate,2021-Q4,KSA,37464
167,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2021-Q4,KSA,133059
177,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2021-Q1,KSA,106300
178,Mining and quarrying,Mining & Quarrying,2021-Q1,KSA,175106
179,Manufacturing,Manufacturing,2021-Q1,KSA,837784
180,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2021-Q1,KSA,78355
181,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2021-Q1,KSA,23609
182,Construction,Construction,2021-Q1,KSA,2115514
183,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q1,KSA,1872576
184,Transportation and storage,"Transport, Storage & Communication",2021-Q1,KSA,258374
185,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q1,KSA,386386
186,Information and communication,"Transport, Storage & Communication",2021-Q1,KSA,79594
187,Financial and insurance activities,"Finance , Insurance and Business sevices",2021-Q1,KSA,76468
188,Real estate activities,Real Estate,2021-Q1,KSA,38231
189,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2021-Q1,KSA,133011
199,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2021-Q2,KSA,103627
200,Mining and quarrying,Mining & Quarrying,2021-Q2,KSA,173230
201,Manufacturing,Manufacturing,2021-Q2,KSA,827037
202,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2021-Q2,KSA,78442
203,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2021-Q2,KSA,23578
204,Construction,Construction,2021-Q2,KSA,2029594
205,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q2,KSA,1828219
206,Transportation and storage,"Transport, Storage & Communication",2021-Q2,KSA,260938
207,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q2,KSA,381488
208,Information and communication,"Transport, Storage & Communication",2021-Q2,KSA,78762
209,Financial and insurance activities,"Finance , Insurance and Business sevices",2021-Q2,KSA,76810
210,Real estate activities,Real Estate,2021-Q2,KSA,38134
211,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2021-Q2,KSA,131885
221,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2021-Q3,KSA,102094
222,Mining and quarrying,Mining & Quarrying,2021-Q3,KSA,173224
223,Manufacturing,Manufacturing,2021-Q3,KSA,830836
224,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2021-Q3,KSA,77763
225,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2021-Q3,KSA,23221
226,Construction,Construction,2021-Q3,KSA,1996612
227,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q3,KSA,1813880
228,Transportation and storage,"Transport, Storage & Communication",2021-Q3,KSA,264794
229,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q3,KSA,390819
230,Information and communication,"Transport, Storage & Communication",2021-Q3,KSA,80821
231,Financial and insurance activities,"Finance , Insurance and Business sevices",2021-Q3,KSA,77191
232,Real estate activities,Real Estate,2021-Q3,KSA,39207
233,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2021-Q3,KSA,133323
243,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2021-Q4,KSA,106710
244,Mining and quarrying,Mining & Quarrying,2021-Q4,KSA,176650
245,Manufacturing,Manufacturing,2021-Q4,KSA,852925
246,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2021-Q4,KSA,78129
247,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2021-Q4,KSA,23850
248,Construction,Construction,2021-Q4,KSA,2058439
249,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q4,KSA,1790879
250,Transportation and storage,"Transport, Storage & Communication",2021-Q4,KSA,281064
251,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q4,KSA,555301
252,Information and communication,"Transport, Storage & Communication",2021-Q4,KSA,82149
253,Financial and insurance activities,"Finance , Insurance and Business sevices",2021-Q4,KSA,77924
254,Real estate activities,Real Estate,2021-Q4,KSA,39303
255,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2021-Q4,KSA,138157
617,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2021-Q4,Riyadh,41806
618,Mining and quarrying,Mining & Quarrying,2021-Q4,Riyadh,9800
619,Manufacturing,Manufacturing,2021-Q4,Riyadh,290021
620,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2021-Q4,Riyadh,42548
621,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2021-Q4,Riyadh,5052
622,Construction,Construction,2021-Q4,Riyadh,683458
623,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q4,Riyadh,823674
624,Transportation and storage,"Transport, Storage & Communication",2021-Q4,Riyadh,82790
625,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q4,Riyadh,126168
626,Information and communication,"Transport, Storage & Communication",2021-Q4,Riyadh,55080
627,Financial and insurance activities,"Finance , Insurance and Business sevices",2021-Q4,Riyadh,52482
628,Real estate activities,Real Estate,2021-Q4,Riyadh,19002
629,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2021-Q4,Riyadh,66591
639,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2021-Q1,Riyadh,41806
640,Mining and quarrying,Mining & Quarrying,2021-Q1,Riyadh,9800
641,Manufacturing,Manufacturing,2021-Q1,Riyadh,290021
642,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2021-Q1,Riyadh,42548
643,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2021-Q1,Riyadh,5052
644,Construction,Construction,2021-Q1,Riyadh,683458
645,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q1,Riyadh,823674
646,Transportation and storage,"Transport, Storage & Communication",2021-Q1,Riyadh,82790
647,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q1,Riyadh,126168
648,Information and communication,"Transport, Storage & Communication",2021-Q1,Riyadh,55080
649,Financial and insurance activities,"Finance , Insurance and Business sevices",2021-Q1,Riyadh,52482
650,Real estate activities,Real Estate,2021-Q1,Riyadh,19002
651,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2021-Q1,Riyadh,66591
661,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2021-Q2,Riyadh,41806
662,Mining and quarrying,Mining & Quarrying,2021-Q2,Riyadh,9800
663,Manufacturing,Manufacturing,2021-Q2,Riyadh,290021
664,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2021-Q2,Riyadh,42548
665,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2021-Q2,Riyadh,5052
666,Construction,Construction,2021-Q2,Riyadh,683458
667,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q2,Riyadh,823674
668,Transportation and storage,"Transport, Storage & Communication",2021-Q2,Riyadh,82790
669,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q2,Riyadh,126168
670,Information and communication,"Transport, Storage & Communication",2021-Q2,Riyadh,55080
671,Financial and insurance activities,"Finance , Insurance and Business sevices",2021-Q2,Riyadh,52482
672,Real estate activities,Real Estate,2021-Q2,Riyadh,19002
673,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2021-Q2,Riyadh,66591
683,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2021-Q3,Riyadh,43118
684,Mining and quarrying,Mining & Quarrying,2021-Q3,Riyadh,9934
685,Manufacturing,Manufacturing,2021-Q3,Riyadh,301891
686,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2021-Q3,Riyadh,38298
687,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2021-Q3,Riyadh,11484
688,Construction,Construction,2021-Q3,Riyadh,650000
689,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q3,Riyadh,779121
690,Transportation and storage,"Transport, Storage & Communication",2021-Q3,Riyadh,100090
691,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q3,Riyadh,121911
692,Information and communication,"Transport, Storage & Communication",2021-Q3,Riyadh,62788
693,Financial and insurance activities,"Finance , Insurance and Business sevices",2021-Q3,Riyadh,52185
694,Real estate activities,Real Estate,2021-Q3,Riyadh,20293
695,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2021-Q3,Riyadh,65110
705,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2021-Q4,Riyadh,43118
706,Mining and quarrying,Mining & Quarrying,2021-Q4,Riyadh,9934
707,Manufacturing,Manufacturing,2021-Q4,Riyadh,301891
708,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2021-Q4,Riyadh,38298
709,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2021-Q4,Riyadh,11484
710,Construction,Construction,2021-Q4,Riyadh,650000
711,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q4,Riyadh,779121
712,Transportation and storage,"Transport, Storage & Communication",2021-Q4,Riyadh,100090
713,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q4,Riyadh,121911
714,Information and communication,"Transport, Storage & Communication",2021-Q4,Riyadh,62788
715,Financial and insurance activities,"Finance , Insurance and Business sevices",2021-Q4,Riyadh,52185
716,Real estate activities,Real Estate,2021-Q4,Riyadh,20293
717,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2021-Q4,Riyadh,65110